State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,16/10/2024 17:14,16/10/2024 17:37,22 mins 55 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,16/10/2024 18:59,16/10/2024 22:34,3 hours 35 mins,7.11,0.26,0.53,0,0,0,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,16/10/2024 19:06,16/10/2024 19:46,39 mins 41 secs,5.26,0,0.53,0.53,0,0,0.53,0.53,0.53,0.26,0.53,0.26,0.53,0,0,0,0.53,0.53,0,0
Finished,16/10/2024 21:27,16/10/2024 21:47,19 mins 35 secs,8.82,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,16/10/2024 23:15,16/10/2024 23:34,18 mins 32 secs,8.95,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,17/10/2024 0:04,17/10/2024 0:34,30 mins 22 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,17/10/2024 0:19,17/10/2024 0:34,14 mins 31 secs,6.84,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0,0.53,0.53,0,0
Finished,17/10/2024 9:00,17/10/2024 9:23,23 mins 3 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,17/10/2024 9:05,17/10/2024 9:17,11 mins 29 secs,4.34,0.53,0.53,0,0,0,0,0,0.53,0.26,0.39,0.26,0.26,0,0,0,0.53,0,0.53,0.53
Finished,17/10/2024 11:04,17/10/2024 11:16,12 mins 11 secs,6.32,0.26,0.53,0.53,0.53,0,0,0.53,0.53,0.26,0.53,0.26,0.26,0,0,0.53,0.53,0.53,0,0.53
Finished,17/10/2024 11:50,17/10/2024 12:03,13 mins 19 secs,8.16,0.53,0.53,0.53,0.53,0.53,0.53,0,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0,0.53
Finished,17/10/2024 12:05,17/10/2024 12:50,45 mins 26 secs,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,17/10/2024 12:49,17/10/2024 13:23,33 mins 55 secs,7.37,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0.53,0,0
Finished,17/10/2024 12:50,17/10/2024 14:00,1 hour 10 mins,6.71,0.26,0.53,0.53,0.53,0,0,0,0.53,0.26,0.39,0,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,17/10/2024 13:28,17/10/2024 13:37,9 mins 41 secs,4.08,0.26,0.53,0,0,0,0,0,0.39,0.53,0.53,0.26,0.53,0,0,0,0,0.53,0,0.53
Finished,17/10/2024 19:02,17/10/2024 19:18,16 mins 4 secs,5.92,0.26,0.53,0,0.53,0.53,0,0.53,0.26,0.53,0.39,0.26,0.53,0,0,0.53,0.53,0,0,0.53
Finished,17/10/2024 19:03,17/10/2024 19:18,14 mins 28 secs,4.08,0,0.53,0,0,0.53,0,0.53,0.26,0.26,0.39,0,0.53,0,0,0.53,0.53,0,0,0
Finished,17/10/2024 21:06,17/10/2024 21:13,7 mins 14 secs,2.24,0.26,0,0,0,0,0,0,0.39,0.53,0.26,0,0.26,0,0,0,0.53,0,0,0
Finished,17/10/2024 21:08,17/10/2024 23:09,2 hours 1 min,8.68,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,17/10/2024 21:46,17/10/2024 21:52,5 mins 46 secs,4.87,0.26,0.53,0.53,0,0,0,0.53,0.39,0.53,0.26,0.53,0.26,0,0,0.53,0.53,0,0,0
Finished,18/10/2024 8:40,18/10/2024 9:43,1 hour 3 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,18/10/2024 9:59,18/10/2024 10:20,21 mins 13 secs,9.74,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,18/10/2024 10:05,18/10/2024 10:17,11 mins 38 secs,8.16,0.53,0.53,0.53,0.53,0,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0
Finished,18/10/2024 14:08,18/10/2024 14:29,21 mins 2 secs,5.53,0,0.53,0.53,0,0,0.53,0.53,0.39,0.26,0.39,0.26,0.53,0.53,0.53,0,0.53,0,0,0
Finished,18/10/2024 14:16,18/10/2024 14:31,15 mins 31 secs,9.74,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,18/10/2024 16:21,18/10/2024 16:28,6 mins 39 secs,9.21,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.26,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,18/10/2024 16:41,18/10/2024 17:02,20 mins 6 secs,5.39,0,0.53,0,0.53,0,0,0.53,0.53,0.53,0.39,0.26,0.53,0,0,0.53,0,0,0.53,0.53
Finished,18/10/2024 17:43,18/10/2024 17:58,15 mins 30 secs,7.37,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0,0.53,0,0
Never submitted,19/10/2024 4:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,19/10/2024 17:32,19/10/2024 17:48,16 mins,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,19/10/2024 21:39,19/10/2024 21:56,17 mins 52 secs,8.68,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,19/10/2024 22:31,19/10/2024 22:38,6 mins 22 secs,9.74,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,19/10/2024 23:54,20/10/2024 0:09,15 mins 36 secs,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,20/10/2024 1:00,20/10/2024 1:27,27 mins 6 secs,7.5,0.26,0.53,0,0.53,0,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,20/10/2024 13:53,20/10/2024 14:31,38 mins 8 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,20/10/2024 16:49,20/10/2024 17:12,22 mins 9 secs,8.42,0.53,0.53,0.53,0.53,0,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,20/10/2024 17:44,20/10/2024 17:54,9 mins 33 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,20/10/2024 18:22,20/10/2024 18:37,15 mins 14 secs,8.95,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,20/10/2024 18:53,20/10/2024 19:09,16 mins 40 secs,8.68,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,20/10/2024 18:53,20/10/2024 19:07,14 mins 5 secs,5.79,0.53,0.53,0,0.53,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0,0,0
Finished,21/10/2024 0:51,21/10/2024 1:13,22 mins 17 secs,8.16,0.26,0.53,0.53,0,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 11:53,21/10/2024 12:06,12 mins 22 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 13:01,21/10/2024 15:38,2 hours 36 mins,8.03,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.39,0.26,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 13:31,21/10/2024 13:46,15 mins 35 secs,6.97,0.53,0.53,0.53,0,0,-,0,0.26,0.53,0.39,0.26,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 15:25,21/10/2024 15:42,17 mins 19 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 15:25,21/10/2024 15:43,17 mins 22 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 19:13,21/10/2024 19:41,28 mins 32 secs,9.21,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 19:13,21/10/2024 19:41,28 mins 28 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,21/10/2024 23:38,21/10/2024 23:59,21 mins 21 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 0:12,22/10/2024 0:17,5 mins 27 secs,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 0:24,22/10/2024 0:53,29 mins 14 secs,8.42,0.53,0.53,0.53,0.53,0,0.53,0.53,0.13,0.53,0.39,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,22/10/2024 8:26,22/10/2024 8:41,15 mins 41 secs,8.29,0.26,0.53,0.53,0.53,0,0.53,0.53,0.26,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53
Finished,22/10/2024 9:53,22/10/2024 10:23,30 mins 16 secs,7.37,0.53,0.53,0.53,0.53,0,0,0,0.39,0.53,0.39,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,22/10/2024 10:50,22/10/2024 11:34,43 mins 41 secs,9.47,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 11:14,22/10/2024 12:12,58 mins 5 secs,9.47,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 11:34,22/10/2024 11:54,19 mins 28 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 13:42,22/10/2024 14:29,47 mins 6 secs,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 15:13,22/10/2024 15:38,25 mins 5 secs,8.68,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,22/10/2024 15:51,22/10/2024 16:01,10 mins 6 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,22/10/2024 15:54,22/10/2024 16:11,16 mins 34 secs,9.34,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
